before ##############################
cost: 0.0010433
total mass  : 125.664
partial mass: 125.664
XM
0.229174 -0.166502 0.444935
0.239178 -0.151783 0.444935
0.248237 -0.136465 0.444935
0.256317 -0.120609 0.444935
0.263385 -0.104277 0.444935
0.269414 -0.0875339 0.444935
0.27438 -0.0704451 0.444935
0.278262 -0.0530785 0.444935
0.281047 -0.0355024 0.444935
0.282721 -0.0177863 0.444935
-----------------------------------
-----------------------------------
counter: 2
cost: 1.17361e-19
total mass  : 44.4849
partial mass: 44.4849
XM
0.283226 8.96591e-12 0.444849
0.282667 0.0177829 0.444849
0.280992 0.0354956 0.444849
0.278208 0.0530682 0.444849
0.274327 0.0704315 0.444849
0.269362 0.0875169 0.444849
0.263335 0.104257 0.444849
0.256268 0.120586 0.444849
0.248189 0.136439 0.444849
0.239131 0.151754 0.444849
0.22913 0.16647 0.444849
0.218224 0.180529 0.444849
0.206457 0.193875 0.444849
0.193875 0.206457 0.444849
0.180529 0.218224 0.444849
0.16647 0.22913 0.444849
0.151754 0.239131 0.444849
0.136439 0.248189 0.444849
0.120586 0.256268 0.444849
0.104257 0.263335 0.444849
0.0875169 0.269362 0.444849
0.0704315 0.274327 0.444849
0.0530682 0.278208 0.444849
0.0354956 0.280992 0.444849
0.0177829 0.282667 0.444849
-9.86226e-11 0.283226 0.444849
-0.0177829 0.282667 0.444849
-0.0354956 0.280992 0.444849
-0.0530682 0.278208 0.444849
-0.0704315 0.274327 0.444849
-0.0875169 0.269362 0.444849
-0.104257 0.263335 0.444849
-0.120586 0.256268 0.444849
-0.136439 0.248189 0.444849
-0.151754 0.239131 0.444849
-0.16647 0.22913 0.444849
-0.180529 0.218224 0.444849
-0.193875 0.206457 0.444849
-0.206457 0.193875 0.444849
-0.218224 0.180529 0.444849
-0.22913 0.16647 0.444849
-0.239131 0.151754 0.444849
-0.248189 0.136439 0.444849
-0.256268 0.120586 0.444849
-0.263335 0.104257 0.444849
-0.269362 0.0875169 0.444849
-0.274327 0.0704315 0.444849
-0.278208 0.0530682 0.444849
-0.280992 0.0354956 0.444849
-0.282667 0.0177829 0.444849
-0.283226 -2.0268e-10 0.444849
-0.282667 -0.0177829 0.444849
