before ##############################
cost: 2.22463e-08
total mass  : 125.664
partial mass: 125.664
XM
0.447042 -0.328093 0.529419
0.454592 -0.300141 0.529418
0.460444 -0.269477 0.529418
0.464859 -0.236266 0.529418
0.468092 -0.200736 0.529418
0.470378 -0.163176 0.529418
0.471924 -0.123924 0.529418
0.4729 -0.0833618 0.529417
0.473433 -0.0419071 0.529417
-----------------------------------
-----------------------------------
counter: 2
cost: 1.30999e-09
total mass  : 52.9338
partial mass: 52.9338
XM
0.4496 1.13521e-10 0.529337
0.450019 0.0482425 0.529338
0.451228 0.0958381 0.529338
0.453079 0.142158 0.529338
0.455337 0.186611 0.529338
0.45768 0.228655 0.529338
0.459719 0.267816 0.529338
0.461009 0.303696 0.529339
0.461072 0.335984 0.529339
0.459412 0.364463 0.529339
0.455543 0.389013 0.529339
0.449006 0.409614 0.529339
0.439389 0.426348 0.529339
0.426348 0.439389 0.529339
0.409614 0.449006 0.529339
0.389013 0.455543 0.529339
0.364463 0.459412 0.529339
0.335984 0.461072 0.529339
0.303696 0.461009 0.529339
0.267816 0.459719 0.529338
0.228655 0.45768 0.529338
0.186611 0.455337 0.529338
0.142158 0.453079 0.529338
0.0958381 0.451228 0.529338
0.0482425 0.450019 0.529338
-1.39498e-10 0.4496 0.529337
-0.0482425 0.450019 0.529338
-0.0958381 0.451228 0.529338
-0.142158 0.453079 0.529338
-0.186611 0.455337 0.529338
-0.228655 0.45768 0.529338
-0.267816 0.459719 0.529338
-0.303696 0.461009 0.529339
-0.335984 0.461072 0.529339
-0.364463 0.459412 0.529339
-0.389013 0.455543 0.529339
-0.409614 0.449006 0.529339
-0.426348 0.439389 0.529339
-0.439389 0.426348 0.529339
-0.449006 0.409614 0.529339
-0.455543 0.389013 0.529339
-0.459412 0.364463 0.529339
-0.461072 0.335984 0.529339
-0.461009 0.303696 0.529339
-0.459719 0.267816 0.529338
-0.45768 0.228655 0.529338
-0.455337 0.186611 0.529338
-0.453079 0.142158 0.529338
-0.451228 0.0958381 0.529338
-0.450019 0.0482425 0.529338
-0.4496 1.7929e-10 0.529337
-0.450019 -0.0482425 0.529338
-0.451228 -0.0958381 0.529338
-0.453079 -0.142158 0.529338
-0.455337 -0.186611 0.529338
-0.45768 -0.228655 0.529338
-0.459719 -0.267816 0.529338
-0.461009 -0.303696 0.529339
-0.461072 -0.335984 0.529339
-0.459412 -0.364463 0.529339
-0.455543 -0.389013 0.529339
-0.449006 -0.409614 0.529339
-0.439389 -0.426348 0.529339
-0.426348 -0.439389 0.529339
-0.409614 -0.449006 0.529339
-0.389013 -0.455543 0.529339
-0.364463 -0.459412 0.529339
-0.335984 -0.461072 0.529339
-0.303696 -0.461009 0.529339
-0.267816 -0.459719 0.529338
-0.228655 -0.45768 0.529338
-0.186611 -0.455337 0.529338
-0.142158 -0.453079 0.529338
-0.0958381 -0.451228 0.529338
-0.0482425 -0.450019 0.529338
-5.389e-11 -0.4496 0.529337
0.0482425 -0.450019 0.529338
0.0958381 -0.451228 0.529338
0.142158 -0.453079 0.529338
0.186611 -0.455337 0.529338
0.228655 -0.45768 0.529338
0.267816 -0.459719 0.529338
0.303696 -0.461009 0.529339
0.335984 -0.461072 0.529339
0.364463 -0.459412 0.529339
0.389013 -0.455543 0.529339
0.409614 -0.449006 0.529339
0.426348 -0.439389 0.529339
0.439389 -0.426348 0.529339
0.449006 -0.409614 0.529339
0.455543 -0.389013 0.529339
0.459412 -0.364463 0.529339
0.461072 -0.335984 0.529339
0.461009 -0.303696 0.529339
0.459719 -0.267816 0.529338
0.45768 -0.228655 0.529338
0.455337 -0.186611 0.529338
0.453079 -0.142158 0.529338
0.451228 -0.0958381 0.529338
0.450019 -0.0482425 0.529338
-----------------------------------
-----------------------------------
counter: 3
cost: 1.30999e-09
total mass  : 52.9338
partial mass: 52.9338
XM
0.429098 1.7186e-10 0.529337
0.430169 0.054829 0.529337
0.433307 0.108845 0.529337
0.438295 0.16126 0.529337
0.444771 0.211329 0.529338
0.452247 0.258372 0.529338
0.460116 0.301787 0.529338
0.467682 0.341057 0.529338
0.474184 0.375765 0.529339
0.478837 0.405599 0.529339
0.480871 0.430364 0.529339
