before ##############################
cost: 0.00417907
total mass  : 125.664
partial mass: 125.664
XM
0.30519 -0.140525 0.447816
0.320583 -0.129446 0.4479
0.334716 -0.117884 0.447982
0.347531 -0.105887 0.448059
0.358971 -0.0935026 0.44813
0.368989 -0.0807778 0.448194
0.377541 -0.0677612 0.44825
0.38459 -0.0545012 0.448297
0.390104 -0.0410464 0.448335
0.394061 -0.0274455 0.448362
0.396442 -0.0137471 0.448379
-----------------------------------
-----------------------------------
counter: 2
cost: 3.10193e-09
total mass  : 44.5961
partial mass: 44.5961
XM
0.760976 -2.5545e-17 0.447201
0.759472 0.0010142 0.447191
0.754966 0.00202277 0.447162
0.747475 0.00302015 0.447114
0.73703 0.00400096 0.447047
0.723672 0.00496007 0.446964
0.707454 0.00589269 0.446864
0.688439 0.00679437 0.44675
0.666705 0.00766111 0.446624
0.642336 0.00848935 0.446487
0.615432 0.00927598 0.446342
0.586098 0.0100184 0.446192
0.554452 0.0107143 0.446037
0.520621 0.0113621 0.445882
0.484739 0.0119602 0.445727
0.44695 0.0125077 0.445577
0.407404 0.0130038 0.445433
0.366258 0.013448 0.445297
0.323675 0.01384 0.445171
0.279824 0.0141797 0.445058
0.234878 0.0144669 0.44496
0.189012 0.0147018 0.444877
0.142409 0.0148844 0.444811
0.0952491 0.0150147 0.444763
0.0477176 0.0150929 0.444734
3.02264e-15 0.0151189 0.444724
-0.0477176 0.0150929 0.444734
-0.0952491 0.0150147 0.444763
-0.142409 0.0148844 0.444811
-0.189012 0.0147018 0.444877
-0.234878 0.0144669 0.44496
-0.279824 0.0141797 0.445058
-0.323675 0.01384 0.445171
-0.366258 0.013448 0.445297
-0.407404 0.0130038 0.445433
-0.44695 0.0125077 0.445577
-0.484739 0.0119602 0.445727
-0.520621 0.0113621 0.445882
-0.554452 0.0107143 0.446037
-0.586098 0.0100184 0.446192
-0.615432 0.00927598 0.446342
-0.642336 0.00848935 0.446487
-0.666705 0.00766111 0.446624
-0.688439 0.00679437 0.44675
-0.707454 0.00589269 0.446864
