before ##############################
cost: 0.417967
total mass  : 125.664
partial mass: 125.664
XM
0.155454 -0.0752882 0.445772
0.168691 -0.0715502 0.445789
0.181282 -0.0675423 0.445806
0.193174 -0.0632843 0.445823
0.204318 -0.0587965 0.44584
0.214666 -0.0540994 0.445857
0.224174 -0.0492136 0.445873
0.232799 -0.0441593 0.445888
0.240505 -0.0389568 0.445902
0.247256 -0.0336257 0.445914
0.253021 -0.0281856 0.445925
0.257775 -0.0226554 0.445934
0.261496 -0.0170536 0.445942
0.264166 -0.0113985 0.445947
0.265773 -0.00570807 0.44595
-----------------------------------
-----------------------------------
counter: 2
cost: 1.41695e-07
total mass  : 44.479
partial mass: 44.479
XM
0.919528 -1.30631e-16 0.445036
0.917683 -0.00833956 0.445034
0.912158 -0.0166539 0.445029
0.902976 -0.0249177 0.445019
0.890181 -0.0331053 0.445006
0.873827 -0.0411903 0.444989
0.85399 -0.0491461 0.444969
0.830756 -0.0569452 0.444946
0.804227 -0.0645593 0.444921
0.774521 -0.0719597 0.444894
0.741765 -0.0791167 0.444865
0.706099 -0.0860005 0.444835
0.667676 -0.0925807 0.444805
0.626656 -0.0988271 0.444774
0.583209 -0.104709 0.444743
0.537514 -0.110198 0.444713
0.489755 -0.115264 0.444684
0.440124 -0.119881 0.444658
0.388817 -0.124022 0.444633
0.336035 -0.127663 0.44461
0.281983 -0.130782 0.444591
0.226868 -0.133361 0.444574
0.1709 -0.135385 0.444561
0.11429 -0.136839 0.444552
0.0572522 -0.137715 0.444546
2.97841e-17 -0.138008 0.444544
-0.0572522 -0.137715 0.444546
-0.11429 -0.136839 0.444552
-0.1709 -0.135385 0.444561
-0.226868 -0.133361 0.444574
-0.281983 -0.130782 0.444591
-0.336035 -0.127663 0.44461
-0.388817 -0.124022 0.444633
-0.440124 -0.119881 0.444658
-0.489755 -0.115264 0.444684
-0.537514 -0.110198 0.444713
-0.583209 -0.104709 0.444743
-0.626656 -0.0988271 0.444774
-0.667676 -0.0925807 0.444805
-0.706099 -0.0860005 0.444835
-0.741765 -0.0791167 0.444865
-0.774521 -0.0719597 0.444894
-0.804227 -0.0645593 0.444921
-0.830756 -0.0569452 0.444946
-0.85399 -0.0491461 0.444969
-0.873827 -0.0411903 0.444989
-0.890181 -0.0331053 0.445006
-0.902976 -0.0249177 0.445019
-0.912158 -0.0166539 0.445029
-0.917683 -0.00833956 0.445034
-0.919528 1.14353e-16 0.445036
-0.917683 0.00833956 0.445034
-0.912158 0.0166539 0.445029
-0.902976 0.0249177 0.445019
-0.890181 0.0331053 0.445006
-0.873827 0.0411903 0.444989
-0.85399 0.0491461 0.444969
-0.830756 0.0569452 0.444946
-0.804227 0.0645593 0.444921
-0.774521 0.0719597 0.444894
-0.741765 0.0791167 0.444865
-0.706099 0.0860005 0.444835
-0.667676 0.0925807 0.444805
-0.626656 0.0988271 0.444774
-0.583209 0.104709 0.444743
-0.537514 0.110198 0.444713
-0.489755 0.115264 0.444684
-0.440124 0.119881 0.444658
-0.388817 0.124022 0.444633
-0.336035 0.127663 0.44461
-0.281983 0.130782 0.444591
-0.226868 0.133361 0.444574
-0.1709 0.135385 0.444561
-0.11429 0.136839 0.444552
-0.0572522 0.137715 0.444546
6.15132e-17 0.138008 0.444544
0.0572522 0.137715 0.444546
0.11429 0.136839 0.444552
0.1709 0.135385 0.444561
0.226868 0.133361 0.444574
0.281983 0.130782 0.444591
0.336035 0.127663 0.44461
0.388817 0.124022 0.444633
0.440124 0.119881 0.444658
0.489755 0.115264 0.444684
0.537514 0.110198 0.444713
0.583209 0.104709 0.444743
0.626656 0.0988271 0.444774
0.667676 0.0925807 0.444805
0.706099 0.0860005 0.444835
0.741765 0.0791167 0.444865
0.774521 0.0719597 0.444894
0.804227 0.0645593 0.444921
0.830756 0.0569452 0.444946
0.85399 0.0491461 0.444969
0.873827 0.0411903 0.444989
0.890181 0.0331053 0.445006
0.902976 0.0249177 0.445019
0.912158 0.0166539 0.445029
0.917683 0.00833956 0.445034
-----------------------------------
-----------------------------------
counter: 3
cost: 1.98439e-09
total mass  : 44.4696
partial mass: 44.4696
XM
0.749593 -1.10747e-16 0.44485
0.748041 -0.00979076 0.444849
0.743393 -0.0195567 0.444845
0.735675 -0.0292725 0.444839
0.72493 -0.0389122 0.444831
0.711217 -0.0484488 0.44482
0.694611 -0.057854 0.444808
0.675201 -0.0670977 0.444793
0.653089 -0.0761484 0.444778
0.628389 -0.0849726 0.444761
0.601227 -0.0935353 0.444743
0.571736 -0.1018 0.444724
0.54006 -0.109728 0.444705
0.506344 -0.117281 0.444686
0.470744 -0.124419 0.444667
0.433414 -0.131103 0.444648
0.394514 -0.137293 0.44463
0.354203 -0.142951 0.444614
0.312641 -0.148041 0.444598
0.269989 -0.152529 0.444585
0.226405 -0.156382 0.444573
0.182048 -0.159575 0.444563
0.137074 -0.162084 0.444554
0.0916384 -0.163889 0.444549
0.0458958 -0.164978 0.444545
8.07253e-17 -0.165342 0.444544
-0.0458958 -0.164978 0.444545
-0.0916384 -0.163889 0.444549
-0.137074 -0.162084 0.444554
-0.182048 -0.159575 0.444563
-0.226405 -0.156382 0.444573
-0.269989 -0.152529 0.444585
-0.312641 -0.148041 0.444598
-0.354203 -0.142951 0.444614
-0.394514 -0.137293 0.44463
-0.433414 -0.131103 0.444648
-0.470744 -0.124419 0.444667
-0.506344 -0.117281 0.444686
-0.54006 -0.109728 0.444705
-0.571736 -0.1018 0.444724
-0.601227 -0.0935353 0.444743
-0.628389 -0.0849726 0.444761
-0.653089 -0.0761484 0.444778
-0.675201 -0.0670977 0.444793
-0.694611 -0.057854 0.444808
-0.711217 -0.0484488 0.44482
-0.72493 -0.0389122 0.444831
-0.735675 -0.0292725 0.444839
-0.743393 -0.0195567 0.444845
-0.748041 -0.00979076 0.444849
-0.749593 9.19934e-17 0.44485
-0.748041 0.00979076 0.444849
-0.743393 0.0195567 0.444845
-0.735675 0.0292725 0.444839
-0.72493 0.0389122 0.444831
-0.711217 0.0484488 0.44482
-0.694611 0.057854 0.444808
-0.675201 0.0670977 0.444793
-0.653089 0.0761484 0.444778
-0.628389 0.0849726 0.444761
-0.601227 0.0935353 0.444743
-0.571736 0.1018 0.444724
-0.54006 0.109728 0.444705
-0.506344 0.117281 0.444686
-0.470744 0.124419 0.444667
-0.433414 0.131103 0.444648
-0.394514 0.137293 0.44463
-0.354203 0.142951 0.444614
-0.312641 0.148041 0.444598
